Time,AIR SYSTEM:Des Heat Mass Flow [kg/s],AIR SYSTEM:Des Cool Mass Flow [kg/s],AIR SYSTEM:Des Heat Cap [W],AIR SYSTEM:Des Sens Cool Cap [W]
00:10:00,1.454434E+00,8.483267E-02,8.593621E+04,6.464968E+02
00:20:00,1.456738E+00,7.497857E-02,8.607234E+04,5.599482E+02
00:30:00,1.459044E+00,6.527271E-02,8.620864E+04,4.774941E+02
00:40:00,1.461354E+00,5.571742E-02,8.634512E+04,3.990834E+02
00:50:00,1.463667E+00,4.956934E-02,8.648175E+04,3.474758E+02
01:00:00,1.465982E+00,4.956934E-02,8.661853E+04,3.399047E+02
01:10:00,1.466455E+00,4.956934E-02,8.664651E+04,3.348572E+02
01:20:00,1.466933E+00,4.956934E-02,8.667472E+04,3.298098E+02
01:30:00,1.467411E+00,4.956934E-02,8.670301E+04,3.247624E+02
01:40:00,1.467891E+00,4.956934E-02,8.673136E+04,3.197149E+02
01:50:00,1.468372E+00,4.956934E-02,8.675977E+04,3.146675E+02
02:00:00,1.468854E+00,4.956934E-02,8.678824E+04,3.096201E+02
02:10:00,1.469102E+00,4.956934E-02,8.680288E+04,3.058345E+02
02:20:00,1.469350E+00,4.956934E-02,8.681757E+04,3.020489E+02
02:30:00,1.469600E+00,4.956934E-02,8.683230E+04,2.982633E+02
02:40:00,1.469849E+00,4.956934E-02,8.684706E+04,2.944778E+02
02:50:00,1.470100E+00,4.956934E-02,8.686185E+04,2.906922E+02
03:00:00,1.470350E+00,4.956934E-02,8.687667E+04,2.869066E+02
03:10:00,1.470484E+00,4.956934E-02,8.688457E+04,2.831210E+02
03:20:00,1.470619E+00,4.956934E-02,8.689251E+04,2.793355E+02
03:30:00,1.470753E+00,4.956934E-02,8.690047E+04,2.755499E+02
03:40:00,1.470888E+00,4.956934E-02,8.690845E+04,2.717643E+02
03:50:00,1.471024E+00,4.956934E-02,8.691646E+04,2.679788E+02
04:00:00,1.471160E+00,4.956934E-02,8.692449E+04,2.641932E+02
04:10:00,1.470164E+00,4.956934E-02,8.686563E+04,2.616695E+02
04:20:00,1.469169E+00,4.956934E-02,8.680685E+04,2.591457E+02
04:30:00,1.468173E+00,4.956934E-02,8.674804E+04,2.566220E+02
04:40:00,1.467178E+00,4.956934E-02,8.668920E+04,2.540983E+02
04:50:00,1.466181E+00,4.956934E-02,8.663033E+04,2.515746E+02
05:00:00,1.465184E+00,4.956934E-02,8.657141E+04,2.490509E+02
05:10:00,1.462863E+00,4.956934E-02,8.643426E+04,2.515746E+02
05:20:00,1.460542E+00,4.956934E-02,8.629713E+04,2.540983E+02
05:30:00,1.458220E+00,4.956934E-02,8.615990E+04,2.566220E+02
05:40:00,1.455895E+00,4.956934E-02,8.602256E+04,2.591457E+02
05:50:00,1.453569E+00,4.956934E-02,8.588512E+04,2.616695E+02
06:00:00,1.451241E+00,4.956934E-02,8.574756E+04,2.641932E+02
06:10:00,1.449568E+00,4.956934E-02,8.564869E+04,2.730262E+02
06:20:00,1.447892E+00,4.956934E-02,8.554967E+04,2.818592E+02
06:30:00,1.446214E+00,4.956934E-02,8.545054E+04,2.906922E+02
06:40:00,1.444535E+00,4.956934E-02,8.535133E+04,2.995252E+02
06:50:00,1.442854E+00,4.956934E-02,8.525203E+04,3.083582E+02
07:00:00,1.441173E+00,4.956934E-02,8.515267E+04,3.171912E+02
07:10:00,1.440842E+00,4.956934E-02,8.513314E+04,3.386428E+02
07:20:00,1.440534E+00,4.956934E-02,8.511497E+04,3.600944E+02
07:30:00,1.440239E+00,4.956934E-02,8.509754E+04,3.815460E+02
07:40:00,1.439953E+00,4.956934E-02,8.508064E+04,4.029975E+02
07:50:00,1.439674E+00,4.956934E-02,8.506415E+04,4.244491E+02
