Time,AIR SYSTEM:Des Heat Mass Flow [kg/s],AIR SYSTEM:Des Cool Mass Flow [kg/s],AIR SYSTEM:Des Heat Cap [W],AIR SYSTEM:Des Sens Cool Cap [W]
00:10:00,1.762724E+00,3.874253E-02,1.041518E+05,2.952509E+02
00:20:00,1.764827E+00,2.786587E-02,1.042760E+05,2.081053E+02
00:30:00,1.766932E+00,1.864916E-02,1.044004E+05,1.364255E+02
00:40:00,1.769040E+00,1.107599E-02,1.045249E+05,7.933321E+01
00:50:00,1.771149E+00,5.131362E-03,1.046496E+05,3.597030E+01
01:00:00,1.773260E+00,8.010006E-04,1.047743E+05,5.492585E+00
01:10:00,1.773700E+00,0.000000E+00,1.048003E+05,0.000000E+00
01:20:00,1.774143E+00,0.000000E+00,1.048265E+05,0.000000E+00
01:30:00,1.774586E+00,0.000000E+00,1.048527E+05,0.000000E+00
01:40:00,1.775030E+00,0.000000E+00,1.048789E+05,0.000000E+00
01:50:00,1.775474E+00,0.000000E+00,1.049051E+05,0.000000E+00
02:00:00,1.775917E+00,0.000000E+00,1.049313E+05,0.000000E+00
02:10:00,1.776147E+00,0.000000E+00,1.049449E+05,0.000000E+00
02:20:00,1.776377E+00,0.000000E+00,1.049585E+05,0.000000E+00
02:30:00,1.776607E+00,0.000000E+00,1.049720E+05,0.000000E+00
02:40:00,1.776836E+00,0.000000E+00,1.049856E+05,0.000000E+00
02:50:00,1.777064E+00,0.000000E+00,1.049991E+05,0.000000E+00
03:00:00,1.777293E+00,0.000000E+00,1.050126E+05,0.000000E+00
03:10:00,1.777414E+00,0.000000E+00,1.050197E+05,0.000000E+00
03:20:00,1.777535E+00,0.000000E+00,1.050269E+05,0.000000E+00
03:30:00,1.777656E+00,0.000000E+00,1.050341E+05,0.000000E+00
03:40:00,1.777777E+00,0.000000E+00,1.050412E+05,0.000000E+00
03:50:00,1.777898E+00,0.000000E+00,1.050483E+05,0.000000E+00
04:00:00,1.778018E+00,0.000000E+00,1.050554E+05,0.000000E+00
04:10:00,1.777111E+00,0.000000E+00,1.050018E+05,0.000000E+00
04:20:00,1.776205E+00,0.000000E+00,1.049483E+05,0.000000E+00
04:30:00,1.775298E+00,0.000000E+00,1.048947E+05,0.000000E+00
04:40:00,1.774390E+00,0.000000E+00,1.048410E+05,0.000000E+00
04:50:00,1.773481E+00,0.000000E+00,1.047873E+05,0.000000E+00
05:00:00,1.772571E+00,0.000000E+00,1.047336E+05,0.000000E+00
05:10:00,1.770460E+00,0.000000E+00,1.046088E+05,0.000000E+00
05:20:00,1.768349E+00,0.000000E+00,1.044841E+05,0.000000E+00
05:30:00,1.766236E+00,0.000000E+00,1.043592E+05,0.000000E+00
05:40:00,1.764121E+00,0.000000E+00,1.042343E+05,0.000000E+00
05:50:00,1.762004E+00,0.000000E+00,1.041092E+05,0.000000E+00
06:00:00,1.759884E+00,0.000000E+00,1.039840E+05,0.000000E+00
06:10:00,1.758359E+00,0.000000E+00,1.038939E+05,0.000000E+00
06:20:00,1.756831E+00,0.000000E+00,1.038036E+05,0.000000E+00
06:30:00,1.755302E+00,0.000000E+00,1.037132E+05,0.000000E+00
06:40:00,1.753770E+00,0.000000E+00,1.036227E+05,0.000000E+00
06:50:00,1.752238E+00,0.000000E+00,1.035322E+05,0.000000E+00
07:00:00,1.750704E+00,0.000000E+00,1.034416E+05,0.000000E+00
07:10:00,1.750398E+00,0.000000E+00,1.034234E+05,0.000000E+00
07:20:00,1.750112E+00,0.000000E+00,1.034066E+05,0.000000E+00
07:30:00,1.749840E+00,0.000000E+00,1.033905E+05,0.000000E+00
07:40:00,1.749576E+00,0.000000E+00,1.033749E+05,0.000000E+00
07:50:00,1.749320E+00,3.195417E-03,1.033598E+05,2.736151E+01
08:00:00,1.749069E+00,9.482465E-03,1.033450E+05,8.529946E+01
08:10:00,1.752287E+00,1.631357E-02,1.035351E+05,1.546391E+02
08:20:00,1.755556E+00,2.770233E-02,1.037282E+05,2.759938E+02
08:30:00,1.758856E+00,4.480574E-02,1.039232E+05,4.680636E+02
08:40:00,1.762180E+00,6.738985E-02,1.041196E+05,7.365833E+02
08:50:00,1.765523E+00,9.205960E-02,1.043171E+05,1.050755E+03
09:00:00,1.768882E+00,1.187828E-01,1.045156E+05,1.413221E+03
09:10:00,1.769868E+00,1.482049E-01,1.045739E+05,1.827409E+03
09:20:00,1.770818E+00,1.773193E-01,1.046300E+05,2.263134E+03
09:30:00,1.771749E+00,2.047234E-01,1.046850E+05,2.701490E+03
09:40:00,1.772670E+00,2.304367E-01,1.047394E+05,3.140521E+03
09:50:00,1.773583E+00,2.544627E-01,1.047934E+05,3.578081E+03
10:00:00,1.774491E+00,2.768303E-01,1.048470E+05,4.012401E+03
10:10:00,1.774401E+00,2.993341E-01,1.048417E+05,4.452872E+03
10:20:00,1.774285E+00,3.206170E-01,1.048348E+05,4.891901E+03
10:30:00,1.774154E+00,3.410358E-01,1.048271E+05,5.333670E+03
10:40:00,1.774012E+00,3.609731E-01,1.048187E+05,5.783319E+03
10:50:00,1.773862E+00,3.808214E-01,1.048098E+05,6.246732E+03
11:00:00,1.773704E+00,4.009103E-01,1.048005E+05,6.729342E+03
11:10:00,1.773650E+00,4.207649E-01,1.047973E+05,7.169716E+03
11:20:00,1.773593E+00,4.407310E-01,1.047939E+05,7.622128E+03
11:30:00,1.773533E+00,4.607645E-01,1.047904E+05,8.085887E+03
11:40:00,1.773470E+00,4.806108E-01,1.047867E+05,8.556513E+03
11:50:00,1.773405E+00,4.998654E-01,1.047828E+05,9.026560E+03
12:00:00,1.773337E+00,5.181121E-01,1.047789E+05,9.487950E+03
12:10:00,1.773481E+00,5.354252E-01,1.047874E+05,9.914038E+03
12:20:00,1.773623E+00,5.523092E-01,1.047957E+05,1.033914E+04
12:30:00,1.773763E+00,5.686546E-01,1.048040E+05,1.076093E+04
12:40:00,1.773902E+00,5.843376E-01,1.048122E+05,1.117671E+04
12:50:00,1.774039E+00,5.993617E-01,1.048203E+05,1.158614E+04
13:00:00,1.774176E+00,6.138724E-01,1.048284E+05,1.199166E+04
13:10:00,1.774524E+00,6.273196E-01,1.048490E+05,1.233419E+04
13:20:00,1.774872E+00,6.400211E-01,1.048695E+05,1.266539E+04
13:30:00,1.775219E+00,6.523692E-01,1.048900E+05,1.299278E+04
13:40:00,1.775565E+00,6.649911E-01,1.049105E+05,1.332880E+04
13:50:00,1.775911E+00,6.785137E-01,1.049309E+05,1.368621E+04
14:00:00,1.776255E+00,6.933711E-01,1.049513E+05,1.407415E+04
14:10:00,1.776386E+00,7.097134E-01,1.049590E+05,1.440586E+04
14:20:00,1.776516E+00,7.271019E-01,1.049666E+05,1.475882E+04
