Time,FIRST FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FIRST FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FIRST FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FIRST FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SECOND FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SECOND FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SECOND FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SECOND FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.008481E+04,0.000000E+00,5.223768E-01,0.000000E+00,1.715307E+04,3.404435E+02,8.878027E-01,3.368916E-02
00:20:00,1.009943E+04,0.000000E+00,5.231341E-01,0.000000E+00,1.717095E+04,2.448669E+02,8.887277E-01,2.423119E-02
00:30:00,1.011408E+04,0.000000E+00,5.238924E-01,0.000000E+00,1.718885E+04,1.638749E+02,8.896536E-01,1.621666E-02
00:40:00,1.012873E+04,0.000000E+00,5.246514E-01,0.000000E+00,1.720677E+04,9.732647E+01,8.905805E-01,9.631292E-03
00:50:00,1.014340E+04,0.000000E+00,5.254110E-01,0.000000E+00,1.722470E+04,4.508958E+01,8.915084E-01,4.462054E-03
01:00:00,1.015808E+04,0.000000E+00,5.261709E-01,0.000000E+00,1.724266E+04,7.038324E+00,8.924373E-01,6.965223E-04
01:10:00,1.016138E+04,0.000000E+00,5.263415E-01,0.000000E+00,1.724617E+04,0.000000E+00,8.926184E-01,0.000000E+00
01:20:00,1.016468E+04,0.000000E+00,5.265130E-01,0.000000E+00,1.724970E+04,0.000000E+00,8.928015E-01,0.000000E+00
01:30:00,1.016798E+04,0.000000E+00,5.266840E-01,0.000000E+00,1.725325E+04,0.000000E+00,8.929852E-01,0.000000E+00
01:40:00,1.017127E+04,0.000000E+00,5.268546E-01,0.000000E+00,1.725681E+04,0.000000E+00,8.931694E-01,0.000000E+00
01:50:00,1.017455E+04,0.000000E+00,5.270245E-01,0.000000E+00,1.726038E+04,0.000000E+00,8.933544E-01,0.000000E+00
02:00:00,1.017782E+04,0.000000E+00,5.271935E-01,0.000000E+00,1.726397E+04,0.000000E+00,8.935401E-01,0.000000E+00
02:10:00,1.017961E+04,0.000000E+00,5.272864E-01,0.000000E+00,1.726573E+04,0.000000E+00,8.936312E-01,0.000000E+00
02:20:00,1.018139E+04,0.000000E+00,5.273786E-01,0.000000E+00,1.726751E+04,0.000000E+00,8.937230E-01,0.000000E+00
02:30:00,1.018315E+04,0.000000E+00,5.274698E-01,0.000000E+00,1.726929E+04,0.000000E+00,8.938155E-01,0.000000E+00
02:40:00,1.018489E+04,0.000000E+00,5.275601E-01,0.000000E+00,1.727109E+04,0.000000E+00,8.939084E-01,0.000000E+00
02:50:00,1.018662E+04,0.000000E+00,5.276495E-01,0.000000E+00,1.727290E+04,0.000000E+00,8.940019E-01,0.000000E+00
03:00:00,1.018834E+04,0.000000E+00,5.277383E-01,0.000000E+00,1.727471E+04,0.000000E+00,8.940958E-01,0.000000E+00
03:10:00,1.018931E+04,0.000000E+00,5.277888E-01,0.000000E+00,1.727562E+04,0.000000E+00,8.941425E-01,0.000000E+00
03:20:00,1.019027E+04,0.000000E+00,5.278387E-01,0.000000E+00,1.727653E+04,0.000000E+00,8.941897E-01,0.000000E+00
03:30:00,1.019123E+04,0.000000E+00,5.278880E-01,0.000000E+00,1.727745E+04,0.000000E+00,8.942372E-01,0.000000E+00
03:40:00,1.019217E+04,0.000000E+00,5.279368E-01,0.000000E+00,1.727837E+04,0.000000E+00,8.942850E-01,0.000000E+00
03:50:00,1.019310E+04,0.000000E+00,5.279851E-01,0.000000E+00,1.727930E+04,0.000000E+00,8.943332E-01,0.000000E+00
04:00:00,1.019402E+04,0.000000E+00,5.280329E-01,0.000000E+00,1.728024E+04,0.000000E+00,8.943816E-01,0.000000E+00
04:10:00,1.018795E+04,0.000000E+00,5.277182E-01,0.000000E+00,1.727229E+04,0.000000E+00,8.939704E-01,0.000000E+00
